bench,rw,bs,iodepth,runtime_s,size,status,fio_read_iops,fio_write_iops,fio_total_iops,fio_read_bw_mib_s,fio_write_bw_mib_s,fio_total_bw_mib_s,fio_read_clat_p95_us,fio_write_clat_p95_us,error
ssd_fio_sweep,read,4k,1,5,1G,measurable,3384.523095,0.0,3384.523095,13.220793,0.0,13.220793,407.552,,
ssd_fio_sweep,read,4k,4,5,1G,measurable,3388.122376,0.0,3388.122376,13.234853,0.0,13.234853,411.648,,
ssd_fio_sweep,read,4k,16,5,1G,measurable,3392.521496,0.0,3392.521496,13.252037,0.0,13.252037,391.168,,
ssd_fio_sweep,read,4k,32,5,1G,measurable,3428.514297,0.0,3428.514297,13.392633,0.0,13.392633,374.784,,
ssd_fio_sweep,read,128k,1,5,1G,measurable,1387.722456,0.0,1387.722456,173.465306,0.0,173.465306,978.944,,
ssd_fio_sweep,read,128k,4,5,1G,measurable,1415.916817,0.0,1415.916817,176.989601,0.0,176.989601,929.792,,
ssd_fio_sweep,read,128k,16,5,1G,measurable,1428.114377,0.0,1428.114377,178.514297,0.0,178.514297,864.256,,
ssd_fio_sweep,read,128k,32,5,1G,measurable,1419.316137,0.0,1419.316137,177.414516,0.0,177.414516,905.216,,
ssd_fio_sweep,read,1m,1,5,1G,measurable,394.721056,0.0,394.721056,394.721055,0.0,394.721055,2146.304,,
ssd_fio_sweep,read,1m,4,5,1G,measurable,326.511799,0.0,326.511799,326.511799,0.0,326.511799,2179.072,,
ssd_fio_sweep,read,1m,16,5,1G,measurable,327.071823,0.0,327.071823,327.071823,0.0,327.071823,2211.84,,
ssd_fio_sweep,read,1m,32,5,1G,measurable,324.265109,0.0,324.265109,324.265108,0.0,324.265108,1974.272,,
ssd_fio_sweep,write,4k,1,5,1G,measurable,0.0,4257.74845,4257.74845,0.0,16.631829,16.631829,,305.152,
ssd_fio_sweep,write,4k,4,5,1G,measurable,0.0,4316.736653,4316.736653,0.0,16.862252,16.862252,,313.344,
ssd_fio_sweep,write,4k,16,5,1G,measurable,0.0,4380.923815,4380.923815,0.0,17.112983,17.112983,,296.96,
ssd_fio_sweep,write,4k,32,5,1G,measurable,0.0,4330.933813,4330.933813,0.0,16.917709,16.917709,,301.056,
ssd_fio_sweep,write,128k,1,5,1G,measurable,0.0,1877.024595,1877.024595,0.0,234.628074,234.628074,,749.568,
ssd_fio_sweep,write,128k,4,5,1G,measurable,0.0,1829.834033,1829.834033,0.0,228.729254,228.729254,,782.336,
ssd_fio_sweep,write,128k,16,5,1G,measurable,0.0,1847.430514,1847.430514,0.0,230.928814,230.928814,,757.76,
ssd_fio_sweep,write,128k,32,5,1G,measurable,0.0,1870.225955,1870.225955,0.0,233.778244,233.778244,,741.376,
ssd_fio_sweep,write,1m,1,5,1G,measurable,0.0,368.019821,368.019821,0.0,368.01982,368.01982,,2023.424,
ssd_fio_sweep,write,1m,4,5,1G,measurable,0.0,377.724455,377.724455,0.0,377.724455,377.724455,,2277.376,
ssd_fio_sweep,write,1m,16,5,1G,measurable,0.0,376.724655,376.724655,0.0,376.724654,376.724654,,2179.072,
ssd_fio_sweep,write,1m,32,5,1G,measurable,0.0,338.841441,338.841441,0.0,338.84144,338.84144,,2113.536,
ssd_fio_sweep,randread,4k,1,5,1G,measurable,2676.464707,0.0,2676.464707,10.45494,0.0,10.45494,585.728,,
ssd_fio_sweep,randread,4k,4,5,1G,measurable,2672.065587,0.0,2672.065587,10.437756,0.0,10.437756,618.496,,
ssd_fio_sweep,randread,4k,16,5,1G,measurable,2624.875025,0.0,2624.875025,10.253418,0.0,10.253418,569.344,,
ssd_fio_sweep,randread,4k,32,5,1G,measurable,2528.894221,0.0,2528.894221,9.878492,0.0,9.878492,626.688,,
ssd_fio_sweep,randread,128k,1,5,1G,measurable,1271.345731,0.0,1271.345731,158.918216,0.0,158.918216,1073.152,,
ssd_fio_sweep,randread,128k,4,5,1G,measurable,1320.935813,0.0,1320.935813,165.116976,0.0,165.116976,1056.768,,
ssd_fio_sweep,randread,128k,16,5,1G,measurable,1293.941212,0.0,1293.941212,161.742651,0.0,161.742651,1105.92,,
ssd_fio_sweep,randread,128k,32,5,1G,measurable,1290.741852,0.0,1290.741852,161.342731,0.0,161.342731,1011.712,,
ssd_fio_sweep,randread,1m,1,5,1G,measurable,354.529094,0.0,354.529094,354.529094,0.0,354.529094,2244.608,,
ssd_fio_sweep,randread,1m,4,5,1G,measurable,324.732768,0.0,324.732768,324.732768,0.0,324.732768,2088.96,,
ssd_fio_sweep,randread,1m,16,5,1G,measurable,353.529294,0.0,353.529294,353.529294,0.0,353.529294,2113.536,,
ssd_fio_sweep,randread,1m,32,5,1G,measurable,328.402367,0.0,328.402367,328.402367,0.0,328.402367,2146.304,,
ssd_fio_sweep,randwrite,4k,1,5,1G,measurable,0.0,3047.390522,3047.390522,0.0,11.903869,11.903869,,536.576,
ssd_fio_sweep,randwrite,4k,4,5,1G,measurable,0.0,3072.985403,3072.985403,0.0,12.003849,12.003849,,593.92,
ssd_fio_sweep,randwrite,4k,16,5,1G,measurable,0.0,3080.383923,3080.383923,0.0,12.032749,12.032749,,610.304,
ssd_fio_sweep,randwrite,4k,32,5,1G,measurable,0.0,3108.778244,3108.778244,0.0,12.143664,12.143664,,593.92,
ssd_fio_sweep,randwrite,128k,1,5,1G,measurable,0.0,1590.481904,1590.481904,0.0,198.810238,198.810238,,954.368,
ssd_fio_sweep,randwrite,128k,4,5,1G,measurable,0.0,1589.482104,1589.482104,0.0,198.685263,198.685263,,954.368,
ssd_fio_sweep,randwrite,128k,16,5,1G,measurable,0.0,1607.878424,1607.878424,0.0,200.984802,200.984802,,929.792,
ssd_fio_sweep,randwrite,128k,32,5,1G,measurable,0.0,1607.078584,1607.078584,0.0,200.884823,200.884823,,937.984,
ssd_fio_sweep,randwrite,1m,1,5,1G,measurable,0.0,367.599467,367.599467,0.0,367.599466,367.599466,,2342.912,
ssd_fio_sweep,randwrite,1m,4,5,1G,measurable,0.0,377.124575,377.124575,0.0,377.124575,377.124575,,2342.912,
ssd_fio_sweep,randwrite,1m,16,5,1G,measurable,0.0,374.325135,374.325135,0.0,374.325134,374.325134,,2408.448,
ssd_fio_sweep,randwrite,1m,32,5,1G,measurable,0.0,342.134623,342.134623,0.0,342.134622,342.134622,,2211.84,
