mode	op_type	shape_variant_count	occurrence_count	request_count_max	duration_time_raw_sum	estimated_flops_total	estimated_tensor_bytes_total	flops_denominator_status	bytes_denominator_status	policy
msprof_prefix_cache_off	chunk_gated_delta_rule_fwd_kernel_h_blockdim64	1	136074	32	136754349735	0	8025971097600	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	CausalConv1d	16	64991	32	102145527707	0	8531303412848	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	MatMulV2	3	181461	32	99472622052	28739558912819200	27162134446080	available	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	recompute_w_u_fwd_kernel	1	136070	32	73832856854	0	8007900200960	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	chunk_fwd_kernel_o	14	122416	32	58092450207	0	10186708221952	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	chunk_gated_delta_rule_fwd_kernel_h_blockdim64	22	63796	32	47282231776	0	1995707174400	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	MatMulV3	2	181476	32	45610170949	12665955192668160	13035100962816	available	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	FusedInferAttentionScore	12	38244	32	44967616785	0	210614526904160	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	merge_16x16_to_64x64_inverse_kernel	8	85480	32	29749111413	0	2509742413360	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	CausalConv1d	12	24041	32	24566324703	0	2361457850416	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	Index	4	33582	32	21475499507	0	93181525599840	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	solve_tril_16x16_kernel	4	33121	32	18631179848	0	694605704072	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	IndexPutV2	4	33573	32	18176333657	0	184968174065364	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	MatMulV2	8	49429	32	15620311150	3615226331136000	5764497295360	available	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	recompute_w_u_fwd_kernel	6	39212	32	14378893946	0	1222702317056	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	FusedInferAttentionScore	7	24254	32	13263269641	0	132955602107360	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	AddRmsNormBias	1	181476	32	9772604116	0	7614070935552	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	chunk_fwd_kernel_o	3	34270	32	9747815788	0	1556634835456	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	Transpose	3	493231	32	7447118160	0	189500517104	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	MatMulV3	5	39236	32	7188172893	1472363568824320	2205121421312	available	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	Index	3	17129	32	6932620746	0	47274285008356	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	merge_16x16_to_64x64_inverse_kernel	3	34258	32	6891533550	0	508331809440	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	IndexPutV2	3	17135	32	6130207834	0	94149628969236	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	solve_tril_16x16_kernel	3	17129	32	5927689864	0	181546332184	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	SwiGlu	1	90739	32	5832440139	0	10275847667712	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	_layer_norm_fwd_1pass_kernel_npu	1	68040	32	5758445035	0	2862739998720	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	chunk_scaled_dot_kkt_fwd_kernel	2	48002	32	5423554944	0	1226888944048	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	Slice	1	68040	32	3076901578	0	4566090372480	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	split_qkv_rmsnorm_mrope_kernel	1	22690	32	2643146340	0	1159886661120	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	fused_sigmoid_gating_delta_rule_update_kernel	2	11694	32	2566375258	0	4212392448	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_off	l2norm_fwd_kernel2_loop	1	136058	32	2170787240	0	2282674454528	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	chunk_scaled_dot_kkt_fwd_kernel	2	24576	32	2142161792	0	318058168320	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
msprof_prefix_cache_on	Transpose	1	73030	32	1369434980	0	9573356640	missing	available	shape_derived_denominator_no_hbm_bandwidth_or_bottleneck_claim
